ensembl_gene_id	x1	x2	sd1	sd2	FC	deltaGE	deltaGEZ	geneMeanGE	geneMedianGE	ks.pvalue	wilcox.pvalue	fligner.pvalue	nMutated
ENSG00000144554	2.535292725665	3.40157918124	2.04814677232309	1.83614449943235	0.745328152185125	-0.866286455575	-0.471652029440938	3.6903523593573	3.40157918124	0.57073544433095	0.414149117498086	0.992663268812164	2
ENSG00000238642	0	0.1218956176015	0	0.227588898696035	0	-0.1218956176015	-0.538784277490253	0.180898794345053	0.121665178742	0.156572361799165	0.0478370041349034	0.019811540881057	3
ENSG00000134086	7.958509008915	12.4355411474	5.25886742062508	5.33315031376779	0.639980915553398	-4.477032138485	-0.837539657268543	12.4237800333452	12.2029387918	0.378447395301327	0.218008378096837	0.793886462730735	2
ENSG00000238345	0	0	0	0	NA	0	NA	0	0	1	NA	NA	2
ENSG00000196639	2.7626430238875	3.49617477184	2.94489776146431	4.48620774459029	0.790190194763504	-0.7335317479525	-0.164639855154759	4.65362901437252	3.49617477184	0.754596527068437	0.46321182272099	0.82768370129246	2
ENSG00000197548	4.25002876761	3.0971823963	2.27109482541695	1.28556353177478	1.37222424248802	1.15284637131	0.885784292346902	3.31857303124561	3.0971823963	0.754596527068437	0.589337988670538	0.109011345393248	2
ENSG00000157152	0.0739221203182	0.161780488178	0.0529732843502712	0.477561188225244	0.456928527974688	-0.0878583678598	-0.185492556588635	0.32193555243938	0.161646365212	0.222165474974464	0.124454676346457	0.231863837654829	2
ENSG00000163517	5.12459892045	7.10764257113	2.45757493617764	4.99199140819713	0.720998399844306	-1.98304365068	-0.400339400678647	8.08860668842888	7.10115896624	0.504772639216654	0.260465886225468	0.26296881983411	3
ENSG00000163520	14.8516367699	6.314758173045	45.0057413864827	16.1759346560525	2.35189319415196	8.536878596855	0.479526401156468	12.2685514873928	6.64508387023	0.550059878130394	0.241696486769701	0.231366968758099	3
ENSG00000177463	2.175612725	2.161798294125	1.29870047062928	1.0645668503557	1.00639024968821	0.0138144308750001	0.0129757810468715	2.25383038264638	2.17541478659	0.961677996548202	0.936582432533728	0.900303048363344	3
ENSG00000228956	0.0254872555989	0.0427299073992	0.0293916599777355	0.165845853692339	0.59647345735594	-0.0172426518003	-0.105565134192326	0.0934850047591574	0.041242786	0.785240040858019	0.829015127797674	0.200441770326287	3
ENSG00000183960	0.4160918615825	0.155074419895	0.118861028910606	0.277835131105302	2.68317535454418	0.2610174416875	0.945263725041992	0.248851795572596	0.166920085854	0.225169107021838	0.146139899288647	0.408439137814031	2
ENSG00000237838	0.0533496856754	0.0435307922398	0.0164749083390938	0.080901892990416	1.22556202013302	0.0098188934356	0.122725221041345	0.0618850423078315	0.0435307922398	0.72602754571608	0.724209297158868	0.145871304013422	2
ENSG00000234165	0.2133370134995	0.0311898190833	0.0911295449215894	0.586594524720827	6.83995674773655	0.1821471944162	0.314055744744916	0.188959960283345	0.0322094097818	0.170846575648035	0.107507147284663	0.552414343165591	2
ENSG00000225548	0.0973319786448	0.1006948719355	6.33793008153732	3.9561242716179	0.966603132552231	-0.0033628932907	-0.000836738869859743	1.86748122832249	0.0973319786448	0.590104554131947	0.403575646078895	0.897968192735599	3
ENSG00000187118	2.139753533485	1.74447266854	1.51628346216092	0.911962760211118	1.22659046029986	0.395280864945	0.431423206748002	1.98342737526858	1.74447266854	0.813840653728294	0.944826788247754	0.210362617489114	2
ENSG00000144642	0.479117270248	0.6044421787635	0.258904058835738	0.672569136187104	0.79266021975522	-0.1253249085155	-0.191575866591654	0.791193447122616	0.603826850307	0.316649754824681	0.3035889878769	0.162516824469839	7
ENSG00000232490	0.03043798300475	0.0195785784655	0.0207905193254986	0.115023161326376	1.55465745679063	0.01085940453925	0.0954650166268081	0.0452910665387816	0.0195785784655	0.778040971448804	0.54979448998397	0.637705217976104	2
ENSG00000182973	10.6708473253	7.71572651505	5.62225447174088	2.20234149389155	1.38299968311291	2.95512081025	1.19175746868429	7.88522869648337	7.76151580303	0.180902398647459	0.051933585218232	0.163608093527961	3
ENSG00000170248	14.62334938605	16.9197588379	2.60300959094382	5.91904552676124	0.864276466712629	-2.29640945185	-0.391255072538809	17.0179837641099	16.4760142602	0.461184882533198	0.46321182272099	0.310703551219383	2
ENSG00000235534	0	0	0	0.00713352652710191	NA	0	0	0.00145190548571258	0	1	0.754932540641488	0.731348674981005	2
ENSG00000172995	0.00607693230452	0.00566780231898	0.00644794857986415	0.0189230027938432	1.07218494268403	0.00040912998554	0.0224824865804364	0.0112423562988087	0.00567843009202	0.663059357646659	0.745691205326486	0.19396192440205	8
ENSG00000226489	0	0	0	0.0135043218356123	NA	0	0	0.00618111677778876	0	0.999985267745222	0.474818853709885	0.483087138270655	2
ENSG00000144674	11.91634363538	8.17898014444	3.83089903971004	11.835060741487	1.45694737301455	3.73736349094	0.319127345519198	9.84137824208573	8.36492233401	0.303881511746681	0.207841447938142	0.666740223935843	2
ENSG00000198590	0.236118372191	0.197358183357	0.0910119773098625	0.351711200001233	1.19639514396972	0.038760188834	0.111399372962653	0.294057703959589	0.197358183357	0.704800817160368	0.835530606678088	0.180856751509164	2
ENSG00000144677	21.43243853045	9.55382425698	8.67641235791152	6.68985691447296	2.24333606668466	11.87861427347	1.73956156493006	12.0743842171126	9.90629593035	0.117977528089889	0.0787822278593196	0.210362617489114	2
ENSG00000136059	1.71035723342	2.433890597705	0.486343336119297	2.12146735360131	0.702725601155925	-0.723533364285	-0.344143969295412	2.96621685362148	2.28396053399	0.156070585749006	0.169021334992919	0.0788418027553544	3
ENSG00000168028	389.813014765	375.991886644	38.3027875981502	477.857546308309	1.03675911266162	13.821128121	0.0292197003303312	545.150750457169	375.991886644	0.704800817160368	1	0.105722167751873	2
ENSG00000182606	8.762551877185	7.28771903401	2.51694399171273	3.43117477566644	1.20237235221231	1.474832843175	0.435761838444821	8.26198142272382	7.28785196678	0.745384428245768	0.699379996311519	0.593371327837414	4
ENSG00000114812	0.460270833328	0.549004501771	0.293448056433224	1.16540070818738	0.838373513957063	-0.088733668443	-0.0772767170058339	0.85349220013204	0.547792036552	0.826679229333239	0.811339753112494	0.205104292070108	3
ENSG00000008324	11.34576873395	16.9854068682	0.996278059825517	13.6453732307838	0.667971560645479	-5.63963813425	-0.41534078067311	21.4964043692912	16.7344187157	0.0781409601634324	0.10536405286983	0.0851975466891965	2
ENSG00000163788	3.33805018068	3.94390020196	0.316452081486506	1.01291371887106	0.846383024352667	-0.60585002128	-0.600834500948382	3.97522787853775	3.854406385	0.0457891585361572	0.0860975592198408	0.0753611007742283	3
ENSG00000144791	1.77550119843	2.4016262631	0.934454096001209	1.05187732488289	0.739291215169423	-0.62612506467	-0.594696500118249	2.63728414519301	2.4016262631	0.57073544433095	0.262239349502025	0.992663268812164	2
ENSG00000211456	6.659355745515	6.79143463614	1.0689760558322	2.49151337507419	0.980552136963499	-0.132078890624999	-0.0535658708728212	6.76814241787517	6.79143463614	0.876404494382023	0.966879164644909	0.328685361621664	2
ENSG00000132153	14.1242836378	15.682982377	1.45312969474821	4.28716159722799	0.900612096492187	-1.5586987392	-0.36675606353359	15.9338867872974	15.6749035348	0.41879468845761	0.446507620313233	0.169614905581106	2
ENSG00000213689	7.399313827825	12.1622406772	2.51652925566492	8.01016349285807	0.608384098309792	-4.762926849375	-0.596450916214145	13.9277479943158	12.0382062466	0.237487231869255	0.162133414807988	0.180851118766794	2
ENSG00000177479	8.815718194065	9.30324097129	0.265437195864599	3.04829058823422	0.947596458188119	-0.487522777225001	-0.16147646120723	10.0181590042931	9.28886956176	0.461184882533198	0.750226282513448	0.0680794466737813	2
ENSG00000178057	25.24119759485	26.1739887289	11.7090732814875	15.8238627148004	0.964361903578721	-0.932791134049999	-0.0593685730980277	30.3252248940022	26.1739887289	0.887385086823289	0.667873511643521	0.86223345267334	2
ENSG00000173421	0.12411890044475	0.0773192357379	0.097479291999698	0.0802973694391669	1.60527841823855	0.04679966470685	0.583691528630645	0.0951399162486243	0.0773192357379	0.840398365679265	0.589337988670538	0.131430579024682	2
ENSG00000173402	31.53400061105	37.7619956056	1.41544927114191	20.3391571415139	0.835072408259419	-6.22799499455	-0.309202322342305	39.3032417879191	36.8485435342	0.41879468845761	0.708624058443922	0.098474370028083	2
ENSG00000164062	32.9013796188	26.5309233318	5.93808500401337	14.1041643691972	1.24011438302882	6.370456287	0.456187624816391	29.9561555414337	26.5689473009	0.378447395301327	0.383220631285644	0.453236281204254	2
ENSG00000004534	16.0621810682	10.7971062223	0.134530968915859	6.0099284242559	1.48763758895191	5.2650748459	0.881306988944558	11.9554419167665	10.8056581272	0.0694586312563837	0.111450997484809	0.0791343258498671	2
ENSG00000003756	12.46119410765	9.28388504397	3.46606897467076	4.35757324228047	1.34223916481427	3.17730906368	0.732254662943814	10.0588694103693	9.49520611914	0.359039836567927	0.312310071026673	0.553037349145425	2
ENSG00000001617	15.2394165869	17.3156937205	9.94539007530284	14.6802970654748	0.880092754751033	-2.0762771336	-0.144713242311728	20.4032732999012	17.3156937205	0.363380147718311	0.318796254688661	0.536000429490122	8
ENSG00000114349	0.2548395582701	0.0229787204199	0.297094925496801	0.18162404862831	11.0902414761705	0.2318608378502	1.25589346770752	0.0643898060003044	0.0231731897197	0.183349049542784	0.0697072581334246	0.00747735952826847	2
ENSG00000114353	36.6172847858	40.5141546343	14.1937013474238	19.409587409399	0.903814607914814	-3.8968698485	-0.202065772799201	44.5360032655506	40.5141546343	0.887385086823289	0.589337988670538	0.666740223935843	2
ENSG00000179837	12.90463243385	14.2257306923	1.50461787110102	4.67201585627391	0.907133187951809	-1.32109825845	-0.285148511440459	15.0547627482201	14.2170431493	0.378447395301327	0.446507620313233	0.246229018669893	2
ENSG00000010327	5.80595712129	6.770411694305	20.4482724720846	29.227639572925	0.85754860759409	-0.964454573015001	-0.0333794753309941	13.3789913086863	6.6759900563	0.901975978302983	0.990930982718056	0.684189714480216	3
ENSG00000055957	0.00256293522319	0.0108197453993	0.00362453775211901	0.0483183354658772	0.236875742321609	-0.00825681017611	-0.172459929678476	0.023740111571864	0.0105298612016	0.225169107021838	0.0938152940888842	0.158858476642827	2
ENSG00000163932	30.6398566203	24.4446316765	6.23345068881644	13.2451786487232	1.25343907921328	6.1952249438	0.476796770236268	27.5174127853797	24.83755104	0.476288342276827	0.411177948554968	0.232494218829407	4
ENSG00000157445	1.73027986826	1.03329238361	1.29067769505041	2.72095584209283	1.67453074822341	0.69698748465	0.261133857332619	1.87722530232103	1.09165984651	0.306221345939141	0.31728678640568	0.794402968005185	4
